date,Arabian Sea heatwave_share,Arabian Sea deep_share_of_heatwave,Bay of Bengal heatwave_share,Bay of Bengal deep_share_of_heatwave
2023-09-26,0.3434928375495276,0.5820763087843833,0.07690470503940769,0.562111801242236
2023-09-27,0.38067573765479285,0.563855421686747,0.04989257579374552,0.1722488038277512
2023-09-28,0.36345504756060143,0.5698607007176023,0.04837940896091516,0.11822660098522167
2023-09-29,0.35429801630016916,0.5707465277777778,0.04262919742795904,0.1340782122905028
2023-09-30,0.3120815581253804,0.5592393954168698,0.00786088613625536,0.06060606060606061
2023-10-01,0.26257407688801093,0.5405092592592593,0.0014265335235378032,0.0
2023-10-02,0.2542579075425791,0.5203349282296651,0.001188495364868077,0.0
2023-10-03,0.33409506398537475,0.4751481988144095,0.0007136060894386299,0.0
2023-10-04,0.4346295162278016,0.42233180697428674,0.0011890606420927466,0.0
2023-10-05,0.48595117457392906,0.43854660347551344,0.0023849272597185785,0.0
2023-10-06,0.4784608309060248,0.4924703620634412,0.0009535160905840286,0.0
2023-10-07,0.4413159908186687,0.47434119278779474,0.0021691973969631237,0.0
2023-10-08,0.4714176245210728,0.479518855656697,0.007520621057738962,0.0
2023-10-09,0.5311732186732187,0.4666088464874241,0.01607795371498173,0.07575757575757576
2023-10-10,0.5941673062164237,0.5027124773960217,0.02719560878243513,0.03669724770642202
2023-10-11,0.6452702702702703,0.5356972870061876,0.09150491555331484,0.12396694214876033
2023-10-12,0.6296580279098298,0.5511446663419386,0.15941295546558704,0.06031746031746032
2023-10-13,0.6252113758647194,0.5529874600442587,0.1845882649206749,0.09959072305593451
2023-10-14,0.6363216266173752,0.5642701525054467,0.22317165116863533,0.10698198198198199
2023-10-15,0.6563029090349392,0.5705909943714822,0.2535802469135802,0.13534566699123662
2023-10-16,0.6525619326050162,0.5758075925489271,0.22910521140609635,0.11373390557939914
2023-10-17,0.7122057001239157,0.5780774249673771,0.22805719921104536,0.11243243243243244
2023-10-18,0.6643389199255121,0.5884139219808456,0.20116396761133604,0.05408805031446541
2023-10-19,0.5828411563568542,0.5962666666666666,0.20343325646938254,0.08312342569269521
2023-10-20,0.5534267912772586,0.5558682803264846,0.18014329580348004,0.07102272727272728
